iata,ville,pays,nom,ville_fr,pays_fr,mots,liaisons
CHC,Christchurch,New Zealand,Christchurch,,Nouvelle-Zélande,,72
REC,Recife,Brazil,Guararapes - Gilberto Freyre,,Brésil,,72
TIA,Tirana,Albania,Tirana Mother Teresa,,,,72
BHM,Birmingham,United States,Birmingham-Shuttlesworth,,États-Unis,USA US Etats Unis,71
BUF,Buffalo,United States,Buffalo Niagara,,États-Unis,USA US Etats Unis,71
FOR,Fortaleza,Brazil,Pinto Martins,,Brésil,,71
GYE,Guayaquil,Ecuador,José Joaquín de Olmedo,,,,71
SWA,Shantou,China,Jieyang Chaoshan,,Chine,,71
GUM,Agana,Guam,Antonio B. Won Pat,,,,70
AMD,Ahmedabad,India,Sardar Vallabhbhai Patel,,Inde,,70
BEL,Belem,Brazil,Val de Cans/Júlio Cezar Ribeiro,,Brésil,,70
BFS,Belfast,United Kingdom,Belfast,,Royaume-Uni,Angleterre GB Grande-Bretagne,70
MAH,Menorca,Spain,Menorca,,Espagne,,70
POS,Port-of-spain,Trinidad and Tobago,Piarco,,,,70
SCQ,Santiago,Spain,Santiago de Compostela,,Espagne,,70
ANU,Antigua,Antigua and Barbuda,V.C. Bird,,,,69
CHS,Charleston,United States,Charleston Air Force Base-International,,États-Unis,USA US Etats Unis,69
OMA,Omaha,United States,Eppley Airfield,,États-Unis,USA US Etats Unis,69
SZG,Salzburg,Austria,Salzburg,,Autriche,,69
SXB,Strasbourg,France,Strasbourg,,,,69
TBS,Tbilisi,Georgia,Tbilisi,,,,69
KIV,Chisinau,Moldova,Chişinău,,,,68
ORK,Cork,Ireland,Cork,,Irlande,,68
MYR,Myrtle Beach,United States,Myrtle Beach,,États-Unis,USA US Etats Unis,68
ORN,Oran,Algeria,Es Senia,,Algérie,,68
PNQ,Pune,India,Pune,,Inde,,68
DAR,Dar Es Salaam,Tanzania,Julius Nyerere,,,,67
DTM,Dortmund,Germany,Dortmund,,Allemagne,,67
EBB,Entebbe,Uganda,Entebbe,,,,67
LUN,Lusaka,Zambia,Kenneth Kaunda Lusaka,,,,67
CGB,Cuiaba,Brazil,Marechal Rondon,,Brésil,,66
DAD,Danang,Vietnam,Da Nang,,Viêt Nam,,66
LBD,Khudzhand,Tajikistan,Khudzhand,,,,66
LJU,Ljubljana,Slovenia,Ljubljana Jože Pučnik,,,,66
OUA,Ouagadougou,Burkina Faso,Ouagadougou,,,,66
RTM,Rotterdam,Netherlands,Rotterdam The Hague,,Pays-Bas,Hollande,66
SOU,Southampton,United Kingdom,Southampton,,Royaume-Uni,Angleterre GB Grande-Bretagne,66
STT,St. Thomas,Virgin Islands,Cyril E. King,,,,66
TFN,Tenerife,Spain,Tenerife Norte,,Espagne,,66
WRO,Wroclaw,Poland,Copernicus Wrocław,,Pologne,,66
DAY,Dayton,United States,James M Cox Dayton,,États-Unis,USA US Etats Unis,64
MAO,Manaus,Brazil,Eduardo Gomes,,Brésil,,64
AZA,Mesa,United States,Phoenix-Mesa-Gateway,,États-Unis,USA US Etats Unis,64
WLG,Wellington,New Zealand,Wellington,,Nouvelle-Zélande,,64
BJV,Bodrum,Turkey,Milas Bodrum,,Turquie,,63
CWL,Cardiff,United Kingdom,Cardiff,,Royaume-Uni,Angleterre GB Grande-Bretagne,63
GAU,Guwahati,India,Lokpriya Gopinath Bordoloi,,Inde,,63
CUR,Willemstad,Netherlands Antilles,Hato,,Antilles néerlandaises,Curacao Curaçao,63
AHO,Alghero,Italy,Alghero-Fertilia,,Italie,,62
TYS,Knoxville,United States,McGhee Tyson,,États-Unis,USA US Etats Unis,62
PLS,Providenciales,Turks and Caicos Islands,Providenciales,,,,62
SDJ,Sendai,Japan,Sendai,,Japon,,62
PIE,St. Petersburg,United States,St Petersburg Clearwater,,États-Unis,USA US Etats Unis,62
NYO,Stockholm,Sweden,Stockholm Skavsta,,Suède,,62
TUS,Tucson,United States,Tucson,,États-Unis,USA US Etats Unis,62
CCJ,Calicut,India,Calicut,,Inde,,61
PNH,Phnom-penh,Cambodia,Phnom Penh,,,,61
SDU,Rio De Janeiro,Brazil,Santos Dumont,,Brésil,,61
ABV,Abuja,Nigeria,Nnamdi Azikiwe,,,,60
ALB,Albany,United States,Albany,,États-Unis,USA US Etats Unis,60
EBL,Erbil,Iraq,Erbil,,,,60
LXA,Lhasa,China,Lhasa Gonggar,,Chine,,60
OSS,Osh,Kyrgyzstan,Osh,,,,60
PEW,Peshawar,Pakistan,Peshawar,,,,60
ROC,Rochester,United States,Greater Rochester,,États-Unis,USA US Etats Unis,60
BAV,Baotou,China,Baotou,,Chine,,58
GOI,Goa,India,Dabolim,,Inde,,58
GSP,Greenville,United States,Greenville Spartanburg,,États-Unis,USA US Etats Unis,58
KIN,Kingston,Jamaica,Norman Manley,,Jamaïque,,58
SZB,Kuala Lumpur,Malaysia,Sultan Abdul Aziz Shah,,,,58
LIT,Little Rock,United States,Bill & Hillary Clinton National/Adams Field,,États-Unis,USA US Etats Unis,58
PTP,Pointe-a-pitre,Guadeloupe,Pointe-à-Pitre Le Raizet,,Guadeloupe,,58
SNN,Shannon,Ireland,Shannon,,Irlande,,58
RMQ,Taichung,Taiwan,Taichung Ching Chuang Kang,,,,58
YZF,Yellowknife,Canada,Yellowknife,,,,58
JOG,Yogyakarta,Indonesia,Adi Sutjipto,,Indonésie,,58
YCU,Yuncheng,China,Yuncheng Guangong,,Chine,,58
BET,Bethel,United States,Bethel,,États-Unis,USA US Etats Unis,57
CLO,Cali,Colombia,Alfonso Bonilla Aragon,,Colombie,,57
DSM,Des Moines,United States,Des Moines,,États-Unis,USA US Etats Unis,57
HRE,Harare,Zimbabwe,Robert Gabriel Mugabe,,,,57
YQB,Quebec,Canada,Quebec Jean Lesage,Québec,,,57
AGA,Agadir,Morocco,Al Massira,,Maroc,,56
BZE,Belize City,Belize,Philip S. W. Goldson,,,,56
OOL,Coolangatta,Australia,Gold Coast,,Australie,,56
GRR,Grand Rapids,United States,Gerald R. Ford,,États-Unis,USA US Etats Unis,56
KTW,Katowice,Poland,Katowice,,Pologne,,56
KZN,Kazan,Russia,Kazan,,Russie,,56
VLI,Port-vila,Vanuatu,Bauerfield,,,,56
RNO,Reno,United States,Reno Tahoe,,États-Unis,USA US Etats Unis,56
ROV,Rostov,Russia,Platov,,Russie,,56
TPS,Trapani,Italy,Vincenzo Florio Trapani-Birgi,,Italie,,56
BKO,Bamako,Mali,Modibo Keita,,,,55
FIH,Kinshasa,Congo (Kinshasa),Ndjili,,,,55
PVD,Providence,United States,Theodore Francis Green State,,États-Unis,USA US Etats Unis,55
TUL,Tulsa,United States,Tulsa,,États-Unis,USA US Etats Unis,55
TNR,Antananarivo,Madagascar,Ivato,,,,54
BTH,Batam,Indonesia,Hang Nadim,,Indonésie,,54
FAI,Fairbanks,United States,Fairbanks,,États-Unis,USA US Etats Unis,54
KBL,Kabul,Afghanistan,Hamid Karzai,,,,54
KUF,Samara,Russia,Kurumoch,,Russie,,54
BMA,Stockholm,Sweden,Stockholm-Bromma,,Suède,,54
TXN,Huangshan,China,Tunxi,,Chine,,52
KCH,Kuching,Malaysia,Kuching,,,,52
MDE,Rio Negro,Colombia,Jose Maria Córdova,,Colombie,,52
AER,Sochi,Russia,Sochi,,Russie,,52
SYR,Syracuse,United States,Syracuse Hancock,,États-Unis,USA US Etats Unis,52
TOS,Tromso,Norway,"Tromsø,",,Norvège,,52
VVO,Vladivostok,Russia,Vladivostok,,Russie,,52
WMI,Warsaw,Poland,Modlin,Varsovie,Pologne,,52
ZAD,Zadar,Croatia,Zadar,,Croatie,,52
BZV,Brazzaville,Congo (Brazzaville),Maya-Maya,,,,51
GCM,Georgetown,Cayman Islands,Owen Roberts,,,,51
GSO,Greensboro,United States,Piedmont Triad,,États-Unis,USA US Etats Unis,51
LPB,La Paz,Bolivia,El Alto,,,,51
PSP,Palm Springs,United States,Palm Springs,,États-Unis,USA US Etats Unis,51
BEN,Benghazi,Libya,Benina,,,,50
DSN,Dongsheng,China,Ordos Ejin Horo,,Chine,,50
SUF,Lamezia,Italy,Lamezia Terme,,Italie,,50
ONT,Ontario,United States,Ontario,,États-Unis,USA US Etats Unis,50
VTE,Vientiane,Laos,Wattay,,,,50
EXT,Exeter,United Kingdom,Exeter,,Royaume-Uni,Angleterre GB Grande-Bretagne,49
OME,Nome,United States,Nome,,États-Unis,USA US Etats Unis,49
AWZ,Ahwaz,Iran,Ahwaz,,,,48
XNA,Bentonville,United States,Northwest Arkansas Regional,,États-Unis,USA US Etats Unis,48
HMO,Hermosillo,Mexico,General Ignacio P. Garcia,,Mexique,,48
HIR,Honiara,Solomon Islands,Honiara,,,,48
JHG,Jinghonggasa,China,Xishuangbanna Gasa,,Chine,,48
LBV,Libreville,Gabon,Libreville Leon M'ba,,,,48
MYY,Miri,Malaysia,Miri,,,,48
MPL,Montpellier,France,Montpellier-Méditerranée,,,,48
PAP,Port-au-prince,Haiti,Toussaint Louverture,,Haïti,,48
YRT,Rankin Inlet,Canada,Rankin Inlet,,,,48
VVI,Santa Cruz,Bolivia,Viru Viru,,,,48
SKP,Skopje,Macedonia,Skopje Alexander the Great,,,,48
YIH,Yichang,China,Yichang Sanxia,,Chine,,48
ELP,El Paso,United States,El Paso,,États-Unis,USA US Etats Unis,47
PDL,Ponta Delgada,Portugal,João Paulo II,,Portugal,,47
BWN,Bandar Seri Begawan,Brunei,Brunei,,,,46
BGI,Bridgetown,Barbados,Sir Grantley Adams,,Barbade,,46
FDF,Fort-de-france,Martinique,Martinique Aimé Césaire,,Martinique,,46
FMM,Memmingen,Germany,Memmingen Allgau,,Allemagne,,46
MVD,Montevideo,Uruguay,Carrasco /General C L Berisso,,,,46
SAP,San Pedro Sula,Honduras,Ramón Villeda Morales,,,,46
SAV,Savannah,United States,Savannah Hilton Head,,États-Unis,USA US Etats Unis,46
UFA,Ufa,Russia,Ufa,,Russie,,46
HPN,White Plains,United States,Westchester County,,États-Unis,USA US Etats Unis,46
OTZ,Kotzebue,United States,Ralph Wien Memorial,,États-Unis,USA US Etats Unis,45
LIR,Liberia,Costa Rica,Daniel Oduber Quiros,,Costa Rica,,45
TJM,Tyumen,Russia,Roshchino,,Russie,,45
ADE,Aden,Yemen,Aden,,,,44
CAK,Akron,United States,Akron Canton Regional,,États-Unis,USA US Etats Unis,44
BDS,Brindisi,Italy,Brindisi – Salento,,Italie,,44
DRS,Dresden,Germany,Dresden,,Allemagne,,44
FNA,Freetown,Sierra Leone,Lungi,,,,44
KTN,Ketchikan,United States,Ketchikan,,États-Unis,USA US Etats Unis,44
IEV,Kiev,Ukraine,Kiev Zhuliany,,Ukraine,,44
MRV,Mineralnye Vody,Russia,Mineralnyye Vody,,Russie,,44
YZV,Sept-iles,Canada,Sept-Îles,,,,44
GYN,Goiania,Brazil,Santa Genoveva,,Brésil,,43
XRY,Jerez,Spain,Jerez,,Espagne,,43
MIG,Mianyang,China,Mianyang,,Chine,,43
YYT,St. John's,Canada,St. John's,,,,43
SCO,Aktau,Kazakhstan,Aktau,,,,42
BDO,Bandung,Indonesia,Husein Sastranegara,,Indonésie,,42
BHD,Belfast,United Kingdom,George Best Belfast City,,Royaume-Uni,Angleterre GB Grande-Bretagne,42
CLJ,Cluj-napoca,Romania,Cluj-Napoca,,Roumanie,,42
DYG,Dayong,China,Dayong,,Chine,,42
DUR,Durban,South Africa,King Shaka,,Afrique du Sud,,42
FLN,Florianopolis,Brazil,Hercílio Luz,,Brésil,,42
GSE,Gothenborg,Sweden,Gothenburg City,,Suède,,42
LIH,Lihue,United States,Lihue,,États-Unis,USA US Etats Unis,42
MDC,Manado,Indonesia,Sam Ratulangi,,Indonésie,,42
PNS,Pensacola,United States,Pensacola Regional,,États-Unis,USA US Etats Unis,42
POZ,Poznan,Poland,Poznań-Ławica,,Pologne,,42
PIK,Prestwick,United Kingdom,Glasgow Prestwick,,Royaume-Uni,Angleterre GB Grande-Bretagne,42
PRN,Pristina,Serbia,Priština,,Serbie,,42
AAL,Aalborg,Denmark,Aalborg,,Danemark,,41
BOI,Boise,United States,Boise Air Terminal/Gowen Field,,États-Unis,USA US Etats Unis,41
JRO,Kilimanjaro,Tanzania,Kilimanjaro,,,,41
KOA,Kona,United States,Ellison Onizuka Kona At Keahole,,États-Unis,USA US Etats Unis,41
LFW,Lome,Togo,Lomé-Tokoin,,,,41
ULN,Ulan Bator,Mongolia,Chinggis Khaan,,,,41
BHY,Beihai,China,Beihai,,Chine,,40
BTS,Bratislava,Slovakia,M. R. Štefánik,,,,40
CLY,Calvi,France,Calvi-Sainte-Catherine,,,,40
CEK,Chelyabinsk,Russia,Chelyabinsk Balandino,,Russie,,40
JIB,Djibouti,Djibouti,Djibouti-Ambouli,,,,40
IFN,Esfahan,Iran,Esfahan Shahid Beheshti,,,,40
FAT,Fresno,United States,Fresno Yosemite,,États-Unis,USA US Etats Unis,40
GOA,Genoa,Italy,Genoa Cristoforo Colombo,Gênes,Italie,,40
JNU,Juneau,United States,Juneau,,États-Unis,USA US Etats Unis,40
FKB,Karlsruhe/Baden-Baden,Germany,Karlsruhe Baden-Baden,,Allemagne,,40
LEX,Lexington KY,United States,Blue Grass,,États-Unis,USA US Etats Unis,40
MHT,Manchester NH,United States,Manchester-Boston Regional,,États-Unis,USA US Etats Unis,40
MJV,Murcia,Spain,San Javier,,Espagne,,40
RUN,St.-denis,Reunion,Roland Garros,,,,40
ICT,Wichita,United States,Wichita Eisenhower National,,États-Unis,USA US Etats Unis,40
XUZ,Xuzhou,China,Xuzhou Guanyin,,Chine,,40
MDT,Harrisburg,United States,Harrisburg,,États-Unis,USA US Etats Unis,39
PMV,Porlamar,Venezuela,Del Caribe Santiago Mariño,,,,39
REU,Reus,Spain,Reus Air Base,,Espagne,,39
BND,Bandar Abbas,Iran,Bandar Abbas,,,,38
BOH,Bournemouth,United Kingdom,Bournemouth,,Royaume-Uni,Angleterre GB Grande-Bretagne,38
GRZ,Graz,Austria,Graz,,Autriche,,38
KUN,Kaunas,Lithuania,Kaunas,,,,38
RAO,Ribeirao Preto,Brazil,Leite Lopes,,Brésil,,38
SDR,Santander,Spain,Santander,,Espagne,,38
TNG,Tanger,Morocco,Ibn Batouta,,Maroc,,38
WDH,Windhoek,Namibia,Hosea Kutako,,,,38
NSI,Yaounde,Cameroon,Yaoundé Nsimalen,,,,38
ZHA,Zhanjiang,China,Zhanjiang,,Chine,,38
UVF,Hewandorra,Saint Lucia,Hewanorra,,Sainte-Lucie,,37
WIL,Nairobi,Kenya,Nairobi Wilson,,Kenya,,37
ODS,Odessa,Ukraine,Odessa,,Ukraine,,37
LEI,Almeria,Spain,Almería,,Espagne,,36
ASU,Asuncion,Paraguay,Silvio Pettirossi,Asunción,,,36
BUR,Burbank,United States,Bob Hope,,États-Unis,USA US Etats Unis,36
CKY,Conakry,Guinea,Conakry,,,,36
NDR,El Aroui,Morocco,Nador,,Maroc,,36
FEZ,Fes,Morocco,Saïss,,Maroc,,36
GCI,Guernsey,Guernsey,Guernsey,,,,36
HLD,Hailar,China,Dongshan,,Chine,,36
HSV,Huntsville,United States,Huntsville Carl T Jones Field,,États-Unis,USA US Etats Unis,36
YFB,Iqaluit,Canada,Iqaluit,,,,36
JAN,Jackson,United States,Jackson-Medgar Wiley Evers,,États-Unis,USA US Etats Unis,36
JHB,Johor Bahru,Malaysia,Senai,,,,36
KOJ,Kagoshima,Japan,Kagoshima,,Japon,,36
KLO,Kalibo,Philippines,Kalibo,,Philippines,,36
USM,Ko Samui,Thailand,Samui,,Thaïlande,,36
LYI,Linyi,China,Shubuling,,Chine,,36
LGB,Long Beach,United States,Long Beach /Daugherty Field/,,États-Unis,USA US Etats Unis,36
LKO,Lucknow,India,Chaudhary Charan Singh,,Inde,,36
GOJ,Nizhniy Novgorod,Russia,Nizhny Novgorod Strigino,,Russie,,36
PKU,Pekanbaru,Indonesia,Sultan Syarif Kasim Ii (Simpang Tiga),,Indonésie,,36
PNR,Pointe-noire,Congo (Brazzaville),Pointe Noire,,,,36
TGU,Tegucigalpa,Honduras,Toncontín,,,,36
VTZ,Vishakhapatnam,India,Vishakhapatnam,,Inde,,36
YTY,Yangzhou,China,Yangzhou Taizhou,,Chine,,36
YIW,Yiwu,China,Yiwu,,Chine,,36
SID,Amilcar Cabral,Cape Verde,Amílcar Cabral,,,,35
BOO,Bodo,Norway,Bodø,,Norvège,,35
CID,Cedar Rapids,United States,The Eastern Iowa,,États-Unis,USA US Etats Unis,35
DOM,Dominica,Dominica,Douglas-Charles,,,,35
DJJ,Jayapura,Indonesia,Sentani,,Indonésie,,35
PGD,Punta Gorda,United States,Charlotte County,,États-Unis,USA US Etats Unis,35
ADA,Adana,Turkey,Adana,,Turquie,,34
OVD,Aviles,Spain,Asturias,,Espagne,,34
BES,Brest,France,Brest Bretagne,,,,34
CGR,Campo Grande,Brazil,Campo Grande,,Brésil,,34
CJB,Coimbatore,India,Coimbatore,,Inde,,34
CAE,Columbia,United States,Columbia Metropolitan,,États-Unis,USA US Etats Unis,34
HIJ,Hiroshima,Japan,Hiroshima,,Japon,,34
JAI,Jaipur,India,Jaipur,,Inde,,34
KMQ,Kanazawa,Japan,Komatsu,,Japon,,34
LGK,Langkawi,Malaysia,Langkawi,,,,34
LWO,Lvov,Ukraine,Lviv,,Ukraine,,34
MSN,Madison,United States,Dane County Regional Truax Field,,États-Unis,USA US Etats Unis,34
MPM,Maputo,Mozambique,Maputo,,,,34
NGS,Nagasaki,Japan,Nagasaki,,Japon,,34
NIM,Niamey,Niger,Diori Hamani,,,,34
OMS,Omsk,Russia,Omsk Central,,Russie,,34
RAI,"Praia, Santiago Island",Cape Verde,Praia,,,,34
SRG,Semarang,Indonesia,Achmad Yani,,Indonésie,,34
YXL,Sioux Lookout,Canada,Sioux Lookout,,,,34
YNZ,Yancheng,China,Yancheng,,Chine,,34
CUU,Chihuahua,Mexico,General Roberto Fierro Villalobos,,Mexique,,33
ISP,Islip,United States,Long Island Mac Arthur,,États-Unis,USA US Etats Unis,33
EYW,Key West,United States,Key West,,États-Unis,USA US Etats Unis,33
KIH,Kish Island,Iran,Kish,,,,33
MDL,Mandalay,Burma,Mandalay,,,,33
YQR,Regina,Canada,Regina,,,,33
UUS,Yuzhno-sakhalinsk,Russia,Yuzhno-Sakhalinsk,,Russie,,33
ZTH,Zakynthos,Greece,"Zakynthos ""Dionysios Solomos""",,Grèce,,33
IXB,Baghdogra,India,Bagdogra,,Inde,,32
CIH,Changzhi,China,Changzhi,,Chine,,32
CHA,Chattanooga,United States,Lovell Field,,États-Unis,USA US Etats Unis,32
CGP,Chittagong,Bangladesh,Shah Amanat,,,,32
CZL,Constantine,Algeria,Mohamed Boudiaf,,Algérie,,32
CZM,Cozumel,Mexico,Cozumel,,Mexique,,32
CUL,Culiacan,Mexico,Bachigualato Federal,,Mexique,,32
FWA,Fort Wayne,United States,Fort Wayne,,États-Unis,USA US Etats Unis,32
IDR,Indore,India,Devi Ahilyabai Holkar,,Inde,,32
JDZ,Jingdezhen,China,Jingdezhen,,Chine,,32
JZH,Jiuzhaigou,China,Jiuzhai Huanglong,,Chine,,32
KBV,Krabi,Thailand,Krabi,,Thaïlande,,32
LYG,Lianyungang,China,Lianyungang,,Chine,,32
MMX,Malmoe,Sweden,Malmö Sturup,,Suède,,32
ROB,Monrovia,Liberia,Roberts,,,,32
NAT,Natal,Brazil,Governador Aluízio Alves,,Brésil,,32
KIJ,Niigata,Japan,Niigata,,Japon,,32
NUX,Novy Urengoy,Russia,Novy Urengoy,,Russie,,32
TGD,Podgorica,Montenegro,Podgorica,,,,32
LOP,Praya,Indonesia,Lombok,,Indonésie,,32
SJJ,Sarajevo,Bosnia and Herzegovina,Sarajevo,,,,32
TSV,Townsville,Australia,Townsville,,Australie,,32
VER,Vera Cruz,Mexico,General Heriberto Jara,,Mexique,,32
VIX,Vitoria,Brazil,Eurico de Aguiar Salles,,Brésil,,32
IXE,Mangalore,India,Mangalore,,Inde,,31
MIR,Monastir,Tunisia,Monastir Habib Bourguiba,,Tunisie,,31
SLZ,Sao Luis,Brazil,Marechal Cunha Machado,,Brésil,,31
JTR,Thira,Greece,Santorini,,Grèce,,31
YWK,Wabush,Canada,Wabush,,,,31
ASB,Ashkhabad,Turkmenistan,Ashgabat,,,,30
BDA,Bermuda,Bermuda,L.F. Wade,,,,30
CIF,Chifeng,China,Chifeng,,Chine,,30
NOC,Connaught,Ireland,Ireland West Knock,,Irlande,,30
DOK,Donetsk,Ukraine,Donetsk,,Ukraine,,30
DZA,Dzaoudzi,Mayotte,Dzaoudzi Pamandzi,,,,30
FPO,Freeport,Bahamas,Grand Bahama,,Bahamas,,30
YYR,Goose Bay,Canada,Goose Bay,,,,30
KGD,Kaliningrad,Russia,Khrabrovo,,Russie,,30
YLW,Kelowna,Canada,Kelowna,,,,30
MZT,Mazatlan,Mexico,General Rafael Buelna,Mazatlán,Mexique,,30
MID,Merida,Mexico,Licenciado Manuel Crescencio Rejon Int,Mérida,Mexique,,30
MLI,Moline,United States,Quad City,,États-Unis,USA US Etats Unis,30
NAG,Nagpur,India,Dr. Babasaheb Ambedkar,,Inde,,30
PIA,Peoria,United States,General Wayne A. Downing Peoria,,États-Unis,USA US Etats Unis,30
PUY,Pula,Croatia,Pula,,Croatie,,30
ROA,Roanoke VA,United States,Roanoke–Blacksburg Regional,,États-Unis,USA US Etats Unis,30
YXE,Saskatoon,Canada,Saskatoon John G. Diefenbaker,,,,30
GEG,Spokane,United States,Spokane,,États-Unis,USA US Etats Unis,30
TBZ,Tabriz,Iran,Tabriz,,,,30
TLH,Tallahassee,United States,Tallahassee Regional,,États-Unis,USA US Etats Unis,30
UDI,Uberlandia,Brazil,Ten. Cel. Aviador César Bombonato,,Brésil,,30
WUS,Wuyishan,China,Nanping Wuyishan,,Chine,,30
ZYI,Zunyi,China,Zunyi Xinzhou,,Chine,,30
AHB,Abha,Saudi Arabia,Abha Regional,,Arabie saoudite,,29
BDJ,Banjarmasin,Indonesia,Syamsudin Noor,,Indonésie,,29
BJX,Del Bajio,Mexico,Del Bajío,,Mexique,,29
MGA,Managua,Nicaragua,Augusto C. Sandino (Managua),,,,29
NSK,Norilsk,Russia,Norilsk-Alykel,,Russie,,29
GND,Point Salines,Grenada,Point Salines,,,,29
POP,Puerto Plata,Dominican Republic,Gregorio Luperon,,République dominicaine,,29
SXR,Srinagar,India,Sheikh ul Alam,,Inde,,29
AMQ,Ambon,Indonesia,"Pattimura, Ambon",,Indonésie,,28
BGW,Baghdad,Iraq,Baghdad,,,,28
BIQ,Biarritz-bayonne,France,Biarritz-Anglet-Bayonne,,,,28
BVC,Boa Vista,Cape Verde,Rabil,,,,28
DVO,Davao,Philippines,Francisco Bangoy,,Philippines,,28
DNK,Dnepropetrovsk,Ukraine,Dnipropetrovsk,,Ukraine,,28
FAR,Fargo,United States,Hector,,États-Unis,USA US Etats Unis,28
FSC,Figari,France,Figari Sud-Corse,,,,28
HYN,Huangyan,China,Huangyan Luqiao,,Chine,,28
ISG,Ishigaki,Japan,New Ishigaki,,Japon,,28
KBR,Kota Bahru,Malaysia,Sultan Ismail Petra,,,,28
LZH,Liuzhou,China,Liuzhou Bailian,,Chine,,28
SSG,Malabo,Equatorial Guinea,Malabo,,,,28
MAR,Maracaibo,Venezuela,La Chinita,,,,28
MHH,Marsh Harbor,Bahamas,Leonard M Thompson,,Bahamas,,28
ECN,Nicosia,Cyprus,Ercan,,,,28
NJC,Nizhnevartovsk,Russia,Nizhnevartovsk,,Russie,,28
UET,Quetta,Pakistan,Quetta,,,,28
RTB,Roatan,Honduras,Juan Manuel Galvez,,,,28
STM,Santarem,Brazil,Maestro Wilson Fonseca,,Brésil,,28
SEN,Southend,United Kingdom,Southend,,Royaume-Uni,Angleterre GB Grande-Bretagne,28
SGF,Springfield,United States,Springfield Branson National,,États-Unis,USA US Etats Unis,28
SGC,Surgut,Russia,Surgut,,Russie,,28
YTZ,Toronto,Canada,Billy Bishop Toronto City Centre,,,,28
TTN,Trenton,United States,Trenton Mercer,,États-Unis,USA US Etats Unis,28
YNJ,Yanji,China,Yanji Chaoyangchuan,,Chine,,28
RAR,Avarua,Cook Islands,Rarotonga,,,,27
BJM,Bujumbura,Burundi,Bujumbura,,,,27
BTV,Burlington,United States,Burlington,,États-Unis,USA US Etats Unis,27
COS,Colorado Springs,United States,City of Colorado Springs Municipal,,États-Unis,USA US Etats Unis,27
EUG,Eugene,United States,Mahlon Sweet Field,,États-Unis,USA US Etats Unis,27
PLM,Palembang,Indonesia,Sultan Mahmud Badaruddin II,,Indonésie,,27
YQT,Thunder Bay,Canada,Thunder Bay,,,,27
TLC,Toluca,Mexico,Licenciado Adolfo Lopez Mateos,,Mexique,,27
AES,Alesund,Norway,Ålesund,,Norvège,,26
ABE,Allentown,United States,Lehigh Valley,,États-Unis,USA US Etats Unis,26
CRK,Angeles City,Philippines,Diosdado Macapagal,,Philippines,,26
AJU,Aracaju,Brazil,Santa Maria,,Brésil,,26
BJL,Banjul,Gambia,Banjul,,,,26
CBR,Canberra,Australia,Canberra,,Australie,,26
CHO,Charlottesville VA,United States,Charlottesville Albemarle,,États-Unis,USA US Etats Unis,26
COR,Cordoba,Argentina,Ingeniero Ambrosio Taravella,,Argentine,,26
FNT,Flint,United States,Bishop,,États-Unis,USA US Etats Unis,26
FDH,Friedrichshafen,Germany,Friedrichshafen,,Allemagne,,26
KOW,Ganzhou,China,Ganzhou,,Chine,,26
KHG,Kashi,China,Kashgar,,Chine,,26
LPQ,Luang Prabang,Laos,Luang Phabang,,,,26
LZO,Luzhou,China,Luzhou,,Chine,,26
MCZ,Maceio,Brazil,Zumbi dos Palmares,,Brésil,,26
SEZ,Mahe,Seychelles,Seychelles,,,,26
MBA,Mombasa,Kenya,Mombasa Moi,,Kenya,,26
ISA,Mount Isa,Australia,Mount Isa,,Australie,,26
JMK,Mykonos,Greece,Mikonos,,Grèce,,26
NOU,Noumea,New Caledonia,La Tontouta,,,,26
OKJ,Okayama,Japan,Okayama,,Japon,,26
RNS,Rennes,France,Rennes-Saint-Jacques,,,,26
SRQ,Sarasota,United States,Sarasota Bradenton,,États-Unis,USA US Etats Unis,26
FSD,Sioux Falls,United States,Joe Foss Field,,États-Unis,USA US Etats Unis,26
TIF,Taif,Saudi Arabia,Ta’if Regional,,Arabie saoudite,,26
TSR,Timisoara,Romania,Timişoara Traian Vuia,,Roumanie,,26
TGO,Tongliao,China,Tongliao,,Chine,,26
YYJ,Victoria,Canada,Victoria,,,,26
VSA,Villahermosa,Mexico,Carlos Rovirosa Pérez,,Mexique,,26
ILM,Wilmington,United States,Wilmington,,États-Unis,USA US Etats Unis,26
XFN,Xiangfan,China,Xiangyang Liuji,,Chine,,26
HSN,Zhoushan,China,Zhoushan,,Chine,,26
ANI,Aniak,United States,Aniak,,États-Unis,USA US Etats Unis,25
PLU,Belo Horizonte,Brazil,Pampulha - Carlos Drummond de Andrade,,Brésil,,25
YMM,Fort Mcmurray,Canada,Fort McMurray,,,,25
ELQ,Gassim,Saudi Arabia,Gassim,,Arabie saoudite,,25
LLW,Lilongwe,Malawi,Lilongwe,,,,25
PAT,Patina,India,Lok Nayak Jayaprakash,,Inde,,25
RAB,Tokua,Papua New Guinea,Tokua,,,,25
ASP,Alice Springs,Australia,Alice Springs,,Australie,,24
AVL,Asheville,United States,Asheville Regional,,États-Unis,USA US Etats Unis,24
BRN,Bern,Switzerland,Bern Belp,,Suisse,,24
BIL,Billings,United States,Billings Logan,,États-Unis,USA US Etats Unis,24
BMI,Bloomington,United States,Central Illinois Regional at Bloomington-Normal,,États-Unis,USA US Etats Unis,24
BOJ,Bourgas,Bulgaria,Burgas,,Bulgarie,,24
